,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
663,NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17,23,19,5,no
664,NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7,17,24,20,6,yes
665,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23,31,26,8,yes
666,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23,32,26,8,yes
667,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23,31,26,8,yes
668,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23,32,26,8,yes
669,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,26,22,6,yes
670,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7,19,27,22,6,yes
671,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7,19,26,22,6,yes
672,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7,19,27,22,6,yes
673,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,23,31,26,8,yes
674,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6,23,32,26,8,yes
675,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6,23,31,26,8,yes
676,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6,23,32,26,8,yes
677,NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35,33,34,9,yes
678,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6,12,18,14,2,no
679,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6,12,17,14,2,no
680,NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7,17,22,19,5,no
681,NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7,19,23,21,6,yes
682,NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7,15,20,17,4,no
683,NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7,16,20,17,4,no
684,NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7,14,19,16,4,no
685,NISSAN Frontier,4.0,6,Man-6,4WD,Gasoline,pickup,7,15,19,17,4,no
686,NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,25,21,6,yes
687,NISSAN Pathfinder,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15,22,17,4,no
688,NISSAN Pathfinder,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14,20,16,4,no
689,NISSAN Pathfinder,5.6,8,Auto-S5,2WD,Gasoline,SUV,6,13,18,15,3,no
690,NISSAN Pathfinder,5.6,8,Auto-S5,4WD,Gasoline,SUV,6,12,18,14,2,no
691,NISSAN Quest,3.5,6,Auto-L5,2WD,Gasoline,minivan,7,16,24,19,5,no
692,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9,22,27,24,7,yes
693,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9,21,26,23,7,yes
